year,month,amount of public holidays
2022,1,3
2022,2,0
2022,3,1
2022,4,5
2022,5,0
2022,6,1
2022,7,0
2022,8,0
2022,9,2
2022,10,0
2022,11,1
2022,12,3
2023,1,3
2023,2,0
2023,3,1
2023,4,5
2023,5,0
2023,6,1
2023,7,0
2023,8,0
2023,9,1
2023,10,0
2023,11,1
2023,12,2
2024,1,2
2024,2,0
2024,3,4
2024,4,2
2024,5,0
2024,6,1
2024,7,0
2024,8,0
2024,9,1
2024,10,0
2024,11,1
2024,12,2
2025,1,2
2025,2,0
2025,3,1
2025,4,5
2025,5,0
2025,6,1
2025,7,0
2025,8,0
2025,9,1
2025,10,0
2025,11,1
2025,12,2